code,start_date,end_date
sh.688671,2024-03-28,2024-05-16
sh.603050,2021-12-15,2022-01-27
sz.000609,2024-05-08,2024-06-20
sz.300210,2024-03-25,2024-05-13
sz.301263,2022-04-11,2022-05-26
sh.688575,2024-07-18,2024-08-29
sh.688659,2022-04-12,2022-05-27
sh.603290,2022-09-20,2022-11-08
sh.605186,2023-12-26,2024-02-07
sh.688322,2024-04-01,2024-05-20
sh.688193,2024-01-17,2024-03-07
sh.603489,2022-02-23,2022-04-08
sh.600843,2022-03-03,2022-04-18
sz.000555,2024-06-20,2024-08-01
sz.000881,2022-04-21,2022-06-08
sh.688498,2024-01-16,2024-03-06
sz.002540,2022-01-19,2022-03-09
sz.300467,2023-07-13,2023-08-24
sz.300229,2023-06-14,2023-07-28
sz.300658,2022-04-12,2022-05-27
sz.300712,2022-07-20,2022-08-31
sz.301221,2022-08-16,2022-09-28
sz.300949,2024-01-19,2024-03-11
sz.001201,2024-06-26,2024-08-07
sz.002555,2023-12-11,2024-01-23
sh.603613,2022-04-12,2022-05-27
sz.000608,2024-01-19,2024-03-11
sh.688319,2022-03-01,2022-04-14
sz.002886,2022-04-14,2022-05-31
sz.300965,2022-04-07,2022-05-24
sz.002890,2024-01-18,2024-03-08
sz.002009,2023-12-25,2024-02-06
sz.300720,2024-05-29,2024-07-11
sh.603882,2022-01-04,2022-02-22
sh.688315,2022-03-23,2022-05-11
sh.600808,2021-09-22,2021-11-10
sz.301122,2024-01-24,2024-03-14
sh.603986,2022-03-24,2022-05-12
sz.300494,2023-04-25,2023-06-09
sh.688562,2023-06-14,2023-07-28
sz.002247,2024-01-16,2024-03-06
sz.300675,2024-01-31,2024-03-21
sz.002965,2021-05-10,2021-06-22
sz.300134,2022-04-12,2022-05-27
sh.688679,2024-05-23,2024-07-05
sz.002552,2021-10-14,2021-11-25
sz.002566,2022-01-12,2022-03-02
sh.603968,2024-05-23,2024-07-05
sz.002333,2022-07-19,2022-08-30
sz.300792,2022-04-12,2022-05-27
sh.601566,2021-09-08,2021-10-29
sz.300998,2022-03-02,2022-04-15
sz.301308,2023-07-28,2023-09-08
sh.688433,2024-04-02,2024-05-21
sh.600530,2023-04-19,2023-08-04
sh.600792,2021-10-21,2021-12-02
sz.300015,2022-03-01,2022-04-14
sz.301307,2023-12-29,2024-02-20
sz.300840,2024-10-08,2024-11-19
sz.300182,2024-03-29,2024-05-17
sz.300853,2022-03-31,2022-05-19
sz.002241,2022-02-22,2022-04-07
sh.601188,2023-09-18,2023-11-07
sz.300198,2024-01-29,2024-03-19
sh.601900,2023-12-14,2024-01-26
sh.601058,2024-09-30,2024-11-18
sz.002186,2024-01-29,2024-03-19
sz.300302,2021-01-20,2021-03-10
sz.300095,2022-08-18,2022-09-30
sz.002838,2022-08-16,2022-09-28
sh.688558,2022-12-06,2023-01-18
sh.688133,2021-09-30,2021-11-18
sh.605366,2021-08-26,2021-10-18
sz.301116,2024-01-23,2024-03-13
sz.000514,2022-05-18,2022-06-30
sz.000011,2024-08-09,2024-09-24
sh.603319,2022-01-17,2022-03-07
sz.000609,2021-04-27,2021-06-15
sh.603022,2022-02-18,2022-04-01
sz.000898,2021-09-16,2021-11-08
sz.002338,2024-01-24,2024-03-14
sh.603101,2023-10-30,2023-12-11
sh.600582,2021-10-19,2021-11-30
sz.002933,2024-01-26,2024-03-18
sz.300456,2021-08-24,2021-10-14
sz.301003,2024-01-15,2024-03-05
sh.601137,2022-09-08,2022-10-28
sh.688072,2024-01-04,2024-02-23
sh.605166,2022-04-13,2022-05-30
sz.300903,2024-01-24,2024-03-14
sz.301128,2022-02-23,2022-04-08
sz.300928,2022-08-19,2022-10-10
sz.000863,2022-04-19,2022-06-06
sz.301313,2023-09-20,2023-11-09
sz.003037,2024-03-26,2024-05-14
sh.688007,2024-01-17,2024-03-07
sh.600678,2024-03-04,2024-04-17
sh.688229,2021-08-23,2021-10-13
sz.000608,2024-01-25,2024-03-15
sz.301301,2024-05-08,2024-06-20
sh.688677,2024-03-29,2024-05-17
sz.002178,2022-01-19,2022-03-09
sh.603021,2024-01-17,2024-03-07
sz.002383,2022-03-30,2022-05-18
sz.000862,2024-05-30,2024-07-12
sh.600338,2021-09-22,2021-11-10
sz.002806,2024-04-08,2024-05-23
sz.300212,2024-01-22,2024-03-12
sz.301348,2024-01-23,2024-03-13
sh.603666,2024-01-16,2024-03-06
sz.002798,2021-02-26,2021-04-12
sh.603530,2022-06-29,2022-08-10
sh.600545,2021-07-15,2021-08-26
sz.000661,2022-01-06,2022-02-24
sh.600185,2022-04-06,2022-05-23
sz.002331,2023-04-12,2023-05-29
sh.600754,2021-07-21,2021-09-01
sz.300086,2022-04-11,2022-05-26
sz.300479,2022-02-10,2022-03-24
sz.300314,2021-10-18,2021-11-29
sh.605588,2024-04-03,2024-05-22
sz.002058,2022-04-13,2022-05-31
sz.301198,2021-12-16,2022-01-28
sh.603396,2021-12-20,2022-02-08
sz.301566,2024-01-18,2024-03-08
sz.300057,2024-05-24,2024-07-08
sz.002858,2024-04-03,2024-05-22
sz.301176,2023-04-21,2023-06-07
sz.002917,2022-04-13,2022-05-30
sh.688186,2022-04-14,2022-05-31
sh.688778,2024-01-16,2024-03-06
sz.300988,2022-04-08,2022-05-25
sh.600744,2021-04-16,2021-06-02
sh.600753,2021-12-16,2022-01-28
sz.300299,2024-04-08,2024-05-23
sh.600234,2023-04-10,2023-05-25
sz.300290,2023-04-17,2023-06-01
sh.688317,2021-03-02,2021-04-14
sh.600725,2021-09-09,2021-11-01
sz.300427,2024-01-09,2024-02-28
sz.301052,2023-12-04,2024-01-16
