code,start_date,end_date
sh.688502,2024-11-29,2025-01-15
sz.002855,2024-11-18,2025-01-02
sz.002583,2024-11-19,2025-01-03
sz.300930,2024-11-18,2025-01-02
sz.300497,2024-11-28,2025-01-14
sz.002583,2024-11-18,2025-01-02
sz.002824,2024-11-18,2025-01-02
sz.000421,2024-11-29,2025-02-06
sz.300497,2024-11-29,2025-01-15
sh.600650,2024-11-19,2025-01-03
sh.600206,2024-11-20,2025-01-06
sz.000973,2024-11-21,2025-01-07
sz.002757,2024-11-18,2025-01-02
sz.000573,2024-11-21,2025-01-07
sh.688726,2024-11-29,2025-01-15
sh.603776,2024-11-20,2025-01-20
sh.603268,2024-11-21,2025-01-07
sz.002095,2024-11-28,2025-01-14
sz.002227,2024-11-18,2025-01-02
sz.301111,2024-11-29,2025-01-15
sz.002227,2024-11-19,2025-01-03
sz.000833,2024-11-22,2025-01-08
sz.301313,2024-11-29,2025-01-15
sh.600463,2024-11-29,2025-01-15
sh.600410,2024-11-29,2025-01-15
sh.688726,2024-11-27,2025-01-13
sz.300374,2024-11-18,2025-01-02
sz.002816,2024-11-29,2025-01-15
sh.600650,2024-11-20,2025-01-06
sz.002344,2024-11-20,2025-01-06
sz.300822,2024-11-26,2025-01-10
sh.688448,2024-11-29,2025-01-15
sh.603955,2024-11-21,2025-01-07
sz.000859,2024-11-28,2025-02-05
sz.300127,2024-11-29,2025-01-15
sh.688062,2024-11-28,2025-01-14
sz.000962,2024-11-29,2025-01-15
sh.688503,2024-11-29,2025-01-15
sz.300295,2024-11-29,2025-01-15
sz.300165,2024-11-28,2025-01-15
sh.603366,2024-11-29,2025-01-15
sh.688115,2024-11-29,2025-01-15
sh.600963,2024-11-20,2025-01-06
sz.000973,2024-11-22,2025-01-08
sz.002787,2024-11-26,2025-01-10
sh.603004,2024-11-20,2025-01-06
sh.603366,2024-11-25,2025-01-09
sz.301392,2024-11-29,2025-01-15
sh.688559,2024-11-28,2025-01-14
sh.600206,2024-11-27,2025-01-13
sz.002583,2024-11-20,2025-01-06
sz.002167,2024-11-27,2025-01-13
sh.688512,2024-11-28,2025-01-14
sh.600206,2024-11-28,2025-01-14
sz.300173,2024-11-28,2025-01-14
sz.002846,2024-11-27,2025-01-13
sh.600963,2024-11-19,2025-01-03
sh.600327,2024-11-27,2025-01-13
sz.300952,2024-11-29,2025-01-15
sh.688196,2024-11-29,2025-01-15
sh.605199,2024-11-29,2025-01-15
sh.600470,2024-11-21,2025-01-07
sh.688660,2024-11-29,2025-01-15
sz.003036,2024-11-21,2025-01-07
sz.300127,2024-11-28,2025-01-14
sz.300165,2024-11-29,2025-01-16
sh.603268,2024-11-22,2025-01-08
sz.002131,2024-11-29,2025-01-15
sz.300822,2024-11-27,2025-01-13
sh.603268,2024-11-18,2025-01-02
sh.603079,2024-11-20,2025-01-06
