code,start_date,end_date
sh.601636,2022-02-24,2022-04-11
sh.688189,2022-04-06,2022-05-23
sz.000752,2022-04-19,2022-06-06
sz.301498,2023-08-18,2023-10-09
sz.300235,2023-06-14,2023-07-28
sh.600078,2024-01-15,2024-03-05
sz.002189,2024-01-22,2024-03-12
sh.603725,2024-01-29,2024-03-19
sz.002237,2022-03-02,2022-04-15
sz.002786,2024-04-01,2024-05-20
sz.000948,2022-03-01,2022-04-14
sz.002228,2024-01-25,2024-03-15
sz.002355,2024-08-01,2024-09-12
sz.300671,2023-04-07,2023-05-24
sh.600854,2024-01-22,2024-03-12
sh.600292,2022-03-01,2022-04-14
sh.688298,2022-09-09,2022-10-31
sz.002727,2024-05-28,2024-07-10
sh.600288,2024-04-01,2024-05-20
sh.688076,2022-04-18,2022-06-02
sh.600587,2022-03-29,2022-05-17
sh.688597,2022-01-06,2022-02-24
sz.002261,2023-04-20,2023-06-06
sz.002122,2021-09-27,2021-11-15
sh.603283,2024-08-01,2024-09-12
sh.603528,2024-03-28,2024-05-16
sh.603978,2021-05-12,2021-06-24
sh.605398,2022-04-15,2022-06-01
sz.300235,2022-01-24,2022-03-14
sz.002481,2022-09-19,2022-11-07
sz.300540,2024-05-23,2024-07-05
sh.688007,2022-08-22,2022-10-11
sh.603038,2022-01-19,2022-03-09
sh.605080,2021-05-14,2021-06-28
sz.002975,2024-11-15,2024-12-27
sz.003025,2023-04-10,2023-05-25
sh.688136,2022-09-09,2022-10-31
sz.000881,2024-01-23,2024-03-13
sh.688506,2023-03-21,2023-05-08
sz.300660,2022-02-28,2022-04-13
sz.301205,2024-05-22,2024-07-04
sz.002876,2024-01-04,2024-02-23
sh.603023,2023-07-27,2023-09-07
sh.688131,2022-01-11,2022-03-15
sz.300562,2024-03-29,2024-05-17
sh.600503,2024-01-29,2024-03-19
sz.002952,2024-01-16,2024-03-06
sh.603616,2022-04-15,2022-06-01
sz.300960,2022-04-14,2022-05-31
sz.301229,2022-03-07,2022-04-20
sz.300481,2022-10-14,2022-11-25
sz.002347,2024-04-09,2024-05-24
sh.688076,2022-01-20,2022-03-10
sz.001287,2023-09-06,2023-10-26
sz.300225,2021-07-06,2021-08-17
sz.000533,2024-01-24,2024-03-14
sz.001209,2022-09-21,2022-11-09
sh.688578,2022-01-14,2022-03-04
sh.601020,2024-01-25,2024-03-15
sz.301121,2024-01-26,2024-03-18
sz.301046,2021-08-31,2021-10-21
sh.600116,2021-09-22,2021-11-10
sz.000718,2021-07-20,2021-08-31
sz.002868,2024-01-17,2024-03-07
sz.002205,2022-04-08,2022-05-25
sz.301009,2024-01-17,2024-03-07
sh.603429,2022-03-02,2022-04-15
sh.600734,2024-01-26,2024-03-18
sz.002104,2022-02-16,2022-03-30
sh.688668,2024-03-21,2024-05-09
sz.300144,2021-07-19,2021-08-30
sh.603218,2021-04-27,2021-06-11
sz.300826,2022-01-13,2022-03-03
sz.300334,2022-04-13,2022-05-30
sh.688011,2024-01-23,2024-03-13
sh.688193,2024-01-16,2024-03-06
sh.600620,2024-03-20,2024-05-08
sh.688121,2024-04-08,2024-05-23
sh.688506,2023-05-22,2023-07-05
sz.002902,2022-08-16,2022-09-28
sz.301033,2022-04-13,2022-05-30
sh.600076,2024-06-03,2024-07-16
sz.301393,2023-08-14,2023-09-25
sz.002177,2022-01-17,2022-03-07
sz.000681,2022-04-06,2022-05-23
sh.603486,2021-07-14,2021-08-25
sz.002748,2021-09-13,2021-11-03
sh.688399,2022-01-11,2022-03-01
sh.600845,2021-02-09,2021-03-30
sh.603261,2024-01-17,2024-03-07
sz.300343,2022-04-11,2022-05-26
sz.002574,2024-01-19,2024-03-11
sz.000006,2024-11-13,2024-12-25
sh.600497,2021-09-13,2021-11-03
sz.300290,2024-11-07,2024-12-19
sh.688478,2023-04-28,2023-06-14
sz.300949,2021-12-30,2022-02-18
sh.603755,2021-08-16,2021-09-29
sz.300696,2024-06-27,2024-08-08
sz.300872,2022-04-14,2022-05-31
sh.600339,2022-03-01,2022-04-14
sh.688333,2021-03-02,2021-04-14
sh.688268,2022-09-28,2022-11-16
sh.688323,2022-03-31,2022-05-19
sh.603717,2024-01-25,2024-03-15
sh.603929,2021-03-05,2021-04-19
sz.300177,2024-06-21,2024-08-02
sh.600774,2024-01-16,2024-03-06
sz.002388,2024-01-18,2024-03-08
sh.600770,2023-04-13,2023-05-30
sz.000972,2024-04-09,2024-05-24
sh.688061,2023-04-21,2023-06-07
sh.603739,2024-05-22,2024-07-04
sz.300088,2022-03-24,2022-05-12
sh.603004,2024-01-19,2024-03-11
sz.300042,2024-03-14,2024-04-29
sh.600158,2022-04-13,2022-05-30
sh.688136,2024-01-09,2024-02-28
sh.605255,2024-01-23,2024-03-13
sh.688737,2024-03-29,2024-05-17
sh.603259,2023-04-13,2023-05-30
sz.001296,2022-01-12,2022-03-02
sh.688313,2022-08-22,2022-10-11
sz.301391,2024-06-20,2024-08-01
sh.603032,2022-03-03,2022-04-18
sz.000632,2022-04-07,2022-05-24
sz.300837,2024-01-16,2024-03-06
sh.688276,2021-07-15,2021-08-26
sz.300307,2022-04-12,2022-05-27
sh.688141,2024-01-19,2024-03-11
sz.300132,2021-07-13,2021-08-24
sz.002595,2022-02-23,2022-04-08
sh.603375,2024-06-21,2024-08-02
sz.300248,2023-04-06,2023-05-23
sh.600129,2022-04-08,2022-05-25
sh.603321,2022-04-20,2022-06-07
sz.300755,2022-03-02,2022-04-15
sz.300821,2023-04-11,2023-05-26
sz.301459,2024-04-01,2024-05-20
sh.603639,2024-01-19,2024-03-11
sz.003018,2022-04-12,2022-05-27
sz.000595,2024-10-30,2024-12-11
sz.300020,2024-01-18,2024-03-08
sz.002901,2021-01-28,2021-03-18
sz.003026,2022-04-19,2022-06-06
sz.300491,2022-08-18,2022-09-30
sz.300365,2022-12-01,2023-01-13
sz.000027,2021-09-28,2021-11-16
sh.603392,2022-05-20,2022-07-04
sz.300809,2023-09-28,2023-11-17
sz.002734,2022-03-01,2022-04-14
sz.301221,2024-04-01,2024-05-20
sh.603609,2022-04-20,2022-06-07
sz.300905,2022-04-13,2022-06-14
sh.600827,2021-01-21,2021-03-11
sz.002134,2024-01-26,2024-03-18
sh.600463,2024-01-24,2024-03-14
sz.001260,2024-03-29,2024-05-17
sz.300180,2024-01-25,2024-03-15
sz.300373,2023-04-13,2023-05-30
sz.300671,2023-04-17,2023-06-01
sz.300443,2022-11-04,2022-12-16
sz.002775,2024-01-17,2024-03-07
sz.300290,2024-04-08,2024-05-23
sz.301040,2021-08-17,2021-09-30
sz.002466,2021-01-27,2021-03-17
sh.603297,2021-09-16,2021-11-08
sh.601528,2022-04-12,2022-05-27
sh.603636,2024-01-22,2024-03-12
sh.603345,2021-02-10,2021-03-31
sz.300964,2022-08-18,2022-09-30
sh.688670,2022-04-13,2022-05-30
sz.300839,2024-01-24,2024-03-14
sz.002510,2023-12-19,2024-01-31
sz.001373,2024-04-10,2024-05-27
sh.603767,2023-09-27,2023-11-16
sh.688355,2023-02-06,2023-03-20
sh.688176,2024-04-03,2024-05-22
sz.002773,2021-04-06,2021-05-21
sz.002380,2024-01-24,2024-03-14
sz.002465,2024-01-17,2024-03-07
sh.600547,2022-04-13,2022-05-30
sh.603879,2024-01-19,2024-03-11
sh.600860,2022-01-06,2022-02-24
sz.300268,2024-05-20,2024-07-02
sz.301015,2022-01-12,2022-03-02
sz.300187,2024-06-07,2024-07-22
sz.002589,2022-04-01,2022-05-20
sz.001306,2024-04-01,2024-05-20
sz.000875,2021-10-11,2021-11-22
sz.300044,2023-03-27,2023-05-12
sz.301255,2023-09-05,2023-10-25
sh.605005,2023-11-29,2024-01-11
sz.000825,2021-09-29,2021-11-17
sz.300519,2024-01-18,2024-03-08
sh.600367,2022-08-22,2022-10-11
sz.301026,2022-04-20,2022-06-07
sz.300011,2022-03-01,2022-04-14
sz.300982,2022-08-17,2022-09-29
sh.600491,2023-12-13,2024-01-25
sz.003005,2024-01-17,2024-03-07
sh.603557,2021-07-08,2021-08-19
sz.002803,2022-09-19,2022-11-07
sh.600234,2024-01-22,2024-03-12
sh.688669,2022-04-11,2022-05-26
sz.001218,2022-04-12,2022-05-27
sh.688608,2022-09-20,2022-11-08
sz.301321,2024-11-05,2024-12-17
sh.688767,2023-04-24,2023-06-08
sh.603392,2024-01-16,2024-03-06
sz.002346,2021-09-14,2021-11-04
sz.300969,2023-03-03,2023-04-17
sh.603083,2022-04-11,2022-05-26
sz.300992,2024-01-26,2024-03-18
sh.600160,2024-08-22,2024-10-14
sz.300143,2021-07-21,2021-09-01
sz.301139,2024-03-21,2024-05-09
sz.002528,2023-01-30,2023-03-13
sh.688629,2024-05-23,2024-07-05
sh.688182,2024-01-19,2024-03-11
sh.600305,2022-03-01,2022-04-14
sh.605258,2024-01-18,2024-03-08
sz.002045,2022-04-11,2022-05-26
sh.600067,2022-01-14,2022-03-04
sz.003012,2022-03-01,2022-04-14
sz.301368,2023-06-30,2023-08-11
sz.300264,2021-07-13,2021-08-24
sz.300752,2024-04-02,2024-05-21
sz.002320,2022-04-13,2022-05-30
sz.002068,2022-08-17,2022-09-29
sh.600078,2021-12-16,2022-01-28
sh.688298,2022-04-21,2022-06-08
sz.300843,2024-03-29,2024-05-17
sh.600807,2024-01-19,2024-03-11
sz.002591,2024-01-17,2024-03-07
sh.600513,2022-01-12,2022-03-02
sz.301033,2022-07-05,2022-08-16
sh.600582,2021-10-21,2021-12-02
sz.002374,2022-01-11,2022-03-01
sh.600219,2021-02-24,2021-04-08
sh.688788,2024-01-09,2024-02-28
sh.688017,2024-06-13,2024-07-25
sz.002425,2021-07-16,2021-08-27
sh.600588,2024-01-19,2024-03-11
sz.300052,2021-01-20,2021-03-10
sh.603219,2022-11-15,2022-12-27
sh.603836,2021-12-13,2022-01-25
sh.688226,2021-07-12,2021-08-23
sh.603330,2021-01-22,2021-03-12
sh.603999,2022-04-08,2022-05-25
sh.689009,2022-08-17,2022-09-29
sz.300572,2021-07-12,2021-08-23
sz.003043,2022-09-20,2022-11-08
sh.600458,2022-04-08,2022-05-25
sz.301089,2022-12-21,2023-02-09
sz.002569,2022-04-14,2022-05-31
sz.300100,2021-01-25,2021-03-15
sz.300964,2024-01-29,2024-03-19
sz.002950,2024-01-23,2024-03-13
sh.603232,2021-07-12,2021-08-23
sz.300080,2022-08-16,2022-09-28
sz.301068,2022-04-14,2022-05-31
sh.688262,2022-09-20,2022-11-08
sh.688656,2022-01-19,2022-03-09
sh.688502,2024-06-11,2024-07-23
sz.000679,2022-04-18,2022-06-02
sz.002030,2022-01-17,2022-03-07
sz.301208,2023-08-23,2023-10-12
sz.300534,2022-03-29,2022-05-17
sz.301062,2024-01-23,2024-03-13
sh.603108,2023-03-28,2023-05-15
sz.301056,2022-03-30,2022-05-18
sz.002354,2022-01-11,2022-03-01
sz.300250,2024-04-01,2024-05-20
sz.300058,2023-12-11,2024-01-23
sh.603701,2023-02-09,2023-03-23
sh.603511,2021-06-04,2021-07-19
sz.300846,2023-05-09,2023-06-20
sh.600714,2024-05-21,2024-07-03
sh.603992,2024-01-22,2024-03-12
sz.300604,2023-04-12,2023-05-29
sh.688028,2022-01-11,2022-03-01
sz.300543,2022-03-01,2022-04-14
sz.002565,2024-01-26,2024-03-18
sh.603353,2023-12-01,2024-01-15
sh.600082,2024-05-22,2024-07-04
sz.300261,2022-05-20,2022-07-04
sz.000969,2021-01-22,2021-03-12
sz.002899,2022-04-21,2022-06-08
sh.601702,2022-10-17,2022-11-28
sh.688010,2022-08-22,2022-10-11
sz.003040,2022-04-20,2022-06-07
sz.300170,2024-04-01,2024-05-20
sh.600116,2021-09-24,2021-11-12
sh.600980,2021-01-26,2021-03-16
sz.002691,2024-04-12,2024-05-29
sh.600280,2022-01-17,2022-03-07
sh.603000,2022-03-04,2022-04-19
sz.002893,2024-01-29,2024-03-19
sz.300130,2021-01-22,2021-03-12
sh.688127,2021-09-07,2021-10-28
sz.300619,2022-08-17,2022-09-29
sh.688127,2021-03-05,2021-04-19
sz.002235,2022-01-24,2022-03-14
sz.002094,2024-10-31,2024-12-12
sz.300093,2022-06-28,2022-08-09
sz.300992,2024-01-16,2024-03-06
sh.600600,2022-10-14,2022-11-25
sh.688535,2023-04-24,2023-06-08
sh.603630,2024-01-16,2024-03-06
sh.600883,2024-01-17,2024-03-07
sh.688339,2022-12-09,2023-01-30
sh.603665,2024-01-03,2024-02-22
sz.300585,2022-04-11,2022-05-26
sz.002441,2024-01-24,2024-03-14
sz.002184,2022-03-02,2022-04-15
sh.600132,2021-07-13,2021-08-24
sz.300756,2021-09-14,2021-11-04
sz.300895,2022-04-11,2022-05-26
sh.603305,2024-03-20,2024-05-08
sz.301126,2023-08-17,2023-09-28
sz.301107,2024-01-09,2024-02-28
sz.002932,2023-04-24,2023-06-08
sh.688670,2022-11-17,2022-12-29
sh.688233,2021-08-19,2021-10-11
sz.003023,2022-10-12,2022-11-23
sh.688169,2021-08-20,2021-10-12
sz.300551,2022-04-15,2022-06-01
sh.600165,2021-09-23,2021-11-11
sh.603232,2022-04-14,2022-05-31
sz.300549,2023-07-20,2023-08-31
sh.603227,2021-04-09,2021-05-26
sz.300376,2021-08-30,2021-10-20
sz.002116,2022-04-14,2022-05-31
sz.001206,2024-01-19,2024-03-11
sh.601162,2024-06-04,2024-07-17
sz.002456,2022-01-18,2022-03-08
sz.300677,2022-04-27,2022-06-14
sz.002076,2024-01-22,2024-03-12
sz.301021,2022-09-20,2022-11-08
sh.603828,2024-01-17,2024-03-07
sz.002846,2022-04-15,2022-06-01
sh.603261,2024-01-12,2024-03-04
